gene	tpm_wt	label	strain	tpm_mutant	background	knockout
19.2	0.015298211061326937		phi9v2	0.02177347644238812	wt	"paste(Delta, phi, ""9"")"
19.3	0.015641304573933774		phi9v2	0.020605458927669632	wt	"paste(Delta, phi, ""9"")"
19.5	0.041365523145565235		phi9v2	0.042628953191508334	wt	"paste(Delta, phi, ""9"")"
0.3	0.0009473417853596758		phi10	0.0011694323941280251	wt	"paste(Delta, phi, ""10"")"
0.4	1.5760609980165976e-06		phi10	6.251193202146602e-07	wt	"paste(Delta, phi, ""10"")"
0.7	0.00045426013250041597		phi10	0.0005501106002923159	wt	"paste(Delta, phi, ""10"")"
0.5	9.070193380385774e-07		phi10	2.1980967624784083e-07	wt	"paste(Delta, phi, ""10"")"
0.6B	4.286619184509195e-07		phi10	1.4384479255515367e-07	wt	"paste(Delta, phi, ""10"")"
0.6A	2.157146854190165e-07		phi10	1.9399461398460384e-07	wt	"paste(Delta, phi, ""10"")"
1	0.0011262250376203181		phi10	0.0011510241863845977	wt	"paste(Delta, phi, ""10"")"
1.2	0.006946088163029126		phi10	0.009812249586096207	wt	"paste(Delta, phi, ""10"")"
1.1	0.0074273393096180515		phi10	0.01075623057609483	wt	"paste(Delta, phi, ""10"")"
1.3	0.007140217037370791		phi10	0.009348441252819684	wt	"paste(Delta, phi, ""10"")"
1.4	0.0035823868785066475		phi10	0.004176877323936272	wt	"paste(Delta, phi, ""10"")"
1.5	0.01069803344234591		phi10	0.01509386378960947	wt	"paste(Delta, phi, ""10"")"
1.6	0.008647038982139543		phi10	0.01178652178818445	wt	"paste(Delta, phi, ""10"")"
1.7	0.009550071821309507		phi10	0.013108800110969003	wt	"paste(Delta, phi, ""10"")"
1.8	0.015034614606147363		phi10	0.01980429521541815	wt	"paste(Delta, phi, ""10"")"
2	0.01100446719483907		phi10	0.01494078614628183	wt	"paste(Delta, phi, ""10"")"
2.5	0.012774637164722541		phi10	0.01516253828745448	wt	"paste(Delta, phi, ""10"")"
2.8	0.0151323602419194		phi10	0.015937659342002242	wt	"paste(Delta, phi, ""10"")"
3	0.020529444435843036		phi10	0.02463594804472825	wt	"paste(Delta, phi, ""10"")"
3.5	0.025622535849217476		phi10	0.03108277099728758	wt	"paste(Delta, phi, ""10"")"
3.8	0.0010850084840926684		phi10	0.001246435344194801	wt	"paste(Delta, phi, ""10"")"
4A	0.0019200163962098148		phi10	0.002180207605645035	wt	"paste(Delta, phi, ""10"")"
4.1	0.0025850355897906073		phi10	0.0029314256468423033	wt	"paste(Delta, phi, ""10"")"
4B	0.0019988098982957675		phi10	0.0022705501771734917	wt	"paste(Delta, phi, ""10"")"
4.2	0.003920213082933003		phi10	0.004902357166053162	wt	"paste(Delta, phi, ""10"")"
4.3	0.008517204795573519		phi10	0.011467379144122328	wt	"paste(Delta, phi, ""10"")"
4.5	0.0056222812849951575		phi10	0.007074760047103249	wt	"paste(Delta, phi, ""10"")"
4.7	0.001974504596179401		phi10	0.002228766596545323	wt	"paste(Delta, phi, ""10"")"
5	0.0023919550714731337		phi10	0.002587858141816605	wt	"paste(Delta, phi, ""10"")"
5.3	0.004799029371345993		phi10	0.005982221256232095	wt	"paste(Delta, phi, ""10"")"
