GEOID,state,income,income.moe,age,age.moe
04021,Arizona,49477.0,1077.0,37.6,0.2
04023,Arizona,40140.0,2637.0,36.5,0.4
04025,Arizona,44748.0,1150.0,51.3,0.2
04027,Arizona,40743.0,1111.0,33.8,0.2
05001,Arkansas,36411.0,2766.0,41.4,0.5
05003,Arkansas,34263.0,2352.0,41.4,0.7
05005,Arkansas,35396.0,2040.0,51.5,0.3
05007,Arkansas,56239.0,1291.0,35.0,0.1
05009,Arkansas,39251.0,1797.0,41.4,0.8
05011,Arkansas,33701.0,2360.0,40.6,1.1
05013,Arkansas,36899.0,6334.0,44.9,0.9
05015,Arkansas,36897.0,2308.0,44.2,0.5
05017,Arkansas,28913.0,2578.0,43.4,0.7
05019,Arkansas,35031.0,2501.0,34.0,0.6
05021,Arkansas,32552.0,2465.0,43.8,0.3
05023,Arkansas,42905.0,2785.0,47.1,0.4
05025,Arkansas,43158.0,4010.0,42.4,0.5
05027,Arkansas,36619.0,3136.0,36.0,0.4
05029,Arkansas,37732.0,3753.0,40.7,1.2
05031,Arkansas,42475.0,1586.0,33.5,0.2
05033,Arkansas,41268.0,1870.0,38.8,0.6
05035,Arkansas,38004.0,2282.0,34.6,0.3
05037,Arkansas,38103.0,3272.0,40.1,0.7
05039,Arkansas,34084.0,3929.0,43.4,0.6
05041,Arkansas,27197.0,2543.0,39.4,1.1
05043,Arkansas,32819.0,2479.0,37.5,1.0
05045,Arkansas,51223.0,1885.0,31.6,0.2
05047,Arkansas,39285.0,1922.0,40.4,0.7
05049,Arkansas,37066.0,4108.0,48.0,0.9
05051,Arkansas,38733.0,1804.0,44.1,0.3
05053,Arkansas,46171.0,2233.0,39.6,0.6
05055,Arkansas,41286.0,1835.0,38.3,0.7
05057,Arkansas,32122.0,2918.0,39.1,0.9
05059,Arkansas,40000.0,2603.0,40.9,0.5
05061,Arkansas,34229.0,3163.0,38.6,0.7
05063,Arkansas,36265.0,1665.0,38.7,0.6
05065,Arkansas,32630.0,2526.0,48.1,0.4
05067,Arkansas,31261.0,2306.0,41.0,0.8
05069,Arkansas,36747.0,1832.0,38.5,0.4
05071,Arkansas,34139.0,3029.0,38.1,0.6
05073,Arkansas,31194.0,2050.0,45.0,0.5
05075,Arkansas,32379.0,2333.0,41.1,0.7
05077,Arkansas,28393.0,3099.0,40.6,0.9
05079,Arkansas,32580.0,3772.0,37.5,0.9
05081,Arkansas,36205.0,2431.0,41.7,0.8
05083,Arkansas,35325.0,2421.0,42.8,1.0
05085,Arkansas,53631.0,1815.0,35.5,0.3
05087,Arkansas,37691.0,2566.0,41.8,0.7
05089,Arkansas,34195.0,1933.0,51.3,0.7
